sol.name	symbol	entrez	transcript
ARNT_1_10111	ARNT	405	NM_001197325.1;NM_001668.3;NM_178427.2
ARPC1A_1_01111	ARPC1A	10552	NM_001190996.1;NM_006409.3
ARPC1B_1_1100	ARPC1B	10095	NM_005720.3
ARPC2_1_1111	ARPC2	10109	NM_005731.2;NM_152862.1
ARPC4-TTLL3_1_110111100	ARPC4-TTLL3	100526693	NM_001198793.1
ARPC4_1_00111	ARPC4	10093	NM_001024959.2;NM_001024960.2;NM_001198780.1;NM_005718.4
ARPC5_1_11111	ARPC5	10092	NM_005717.2
ARPM1_1_1010	ARPM1	84517	NM_032487.4
ARRB1_1_1101	ARRB1	408	NM_004041.4;NM_020251.3
ARSA_1_011111	ARSA	410	NM_000487.5;NM_001085425.2;NM_001085426.2;NM_001085427.2;NM_001085428.2;NM_001085428.2;NM_001085428.2
ARSB_1_11101	ARSB	411	NM_000046.3;NM_198709.2;NM_198709.2
ARSD_1_11000000	ARSD	414	NM_001669.3
ARSE_1_1111	ARSE	415	NM_000047.2
ARSF_1_0111	ARSF	416	NM_001201538.1;NM_001201539.1;NM_004042.4
ARSJ_1_11101	ARSJ	79642	NM_024590.3
ART5_1_10111	ART5	116969	NM_001079536.1;NM_053017.3
ASAH2_1_1101	ASAH2	56624	NM_001143974.1;NM_019893.2
ASF1B_1_111	ASF1B	55723	NM_018154.2
ASGR1_1_1111	ASGR1	432	NM_001197216.2;NM_001671.4
ASH2L_1_11101	ASH2L	9070	NM_001105214.1;NM_004674.3
ASL_1_101111	ASL	435	NM_000048.3;NM_001024943.1;NM_001024944.1;NM_001024946.1
ASMTL_1_0111	ASMTL	8623	NM_001173473.1;NM_001173474.1;NM_004192.3
ASNS_1_11110	ASNS	440	NM_001178075.1;NM_001673.4;NM_133436.3;NM_183356.3;NM_001178076.1;NM_001178077.1;NM_001178076.1;NM_001178077.1
